epoch,step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,val_f1,val_loss
0,4,,0.46500709652900696,,0.7222021222114563,,
0,9,,0.39839571714401245,,0.789538562297821,,
0,14,,0.4652406573295593,,0.7381725907325745,,
0,15,,,,,0.4869580864906311,0.7159491181373596
0,15,0.44844385981559753,,0.7466322183609009,,,
1,19,,0.44989752769470215,,0.7358883619308472,,
1,24,,0.5099509954452515,,0.7369592189788818,,
1,29,,0.4373401403427124,,0.7493652105331421,,
1,31,,,,,0.43648213148117065,0.7083398699760437
1,31,0.4893297255039215,,0.7353031039237976,,,
2,34,,0.4643874764442444,,0.7458996772766113,,
2,39,,0.4597839117050171,,0.7128002643585205,,
2,44,,0.44191813468933105,,0.7201452851295471,,
2,47,,,,,0.5082296133041382,0.6933239698410034
2,47,0.4935396909713745,,0.7289191484451294,,,
3,49,,0.43466663360595703,,0.7230590581893921,,
3,54,,0.4560000002384186,,0.750811755657196,,
3,59,,0.441476434469223,,0.7473864555358887,,
3,63,,,,,0.5017994046211243,0.6966363787651062
3,63,0.44137030839920044,,0.7501117587089539,,,
4,64,,0.4252873659133911,,0.7809557914733887,,
4,69,,0.42084944248199463,,0.7498877048492432,,
4,74,,0.5191816091537476,,0.7143884301185608,,
4,79,,0.48954057693481445,,0.7139685153961182,,
4,79,,,,,0.4668990969657898,0.7030810713768005
4,79,0.48200374841690063,,0.7293714284896851,,,
5,84,,0.449504554271698,,0.7655395269393921,,
5,89,,0.48994898796081543,,0.7181347608566284,,
5,94,,0.5331466197967529,,0.7250024676322937,,
5,95,,,,,0.47210079431533813,0.7008892893791199
5,95,0.47823941707611084,,0.7279815077781677,,,
6,99,,0.42301851511001587,,0.7461743354797363,,
6,104,,0.5476190447807312,,0.6803222894668579,,
6,109,,0.5160127878189087,,0.7133374214172363,,
6,111,,,,,0.46723029017448425,0.695629894733429
6,111,0.4719783365726471,,0.7193737626075745,,,
7,114,,0.44191813468933105,,0.7359545826911926,,
7,119,,0.5288220643997192,,0.6906542778015137,,
7,124,,0.5833333730697632,,0.6887316703796387,,
7,127,,,,,0.49017706513404846,0.6962146162986755
7,127,0.4819912612438202,,0.715370774269104,,,
8,129,,0.49269479513168335,,0.7234692573547363,,
8,134,,0.4949495196342468,,0.715954601764679,,
8,139,,0.5444883108139038,,0.7061328291893005,,
8,143,,,,,0.5296751260757446,0.6953930854797363
8,143,0.48020458221435547,,0.7137675285339355,,,
9,144,,0.44989752769470215,,0.7231909036636353,,
9,149,,0.46867167949676514,,0.7191796898841858,,
9,154,,0.3960113823413849,,0.7264733910560608,,
9,159,,0.48123282194137573,,0.7251904010772705,,
9,159,,,,,0.4772445559501648,0.7017437815666199
9,159,0.45671096444129944,,0.7234706878662109,,,
